"PolyID","imd_rank","imd_national_decile","nation"
"E01000866",9932,3,"England"
"E01000867",9382,3,"England"
"E01000868",4638,2,"England"
"E01000869",11769,4,"England"
"E01000870",8838,3,"England"
"E01000871",17430,6,"England"
"E01000872",6413,2,"England"
"E01000873",24138,8,"England"
"E01000874",25116,8,"England"
"E01000875",9672,3,"England"
"E01000876",8303,3,"England"
"E01000877",20753,7,"England"
"E01000878",24123,8,"England"
"E01000879",29112,9,"England"
"E01000880",28724,9,"England"
"E01000881",18678,6,"England"
"E01000882",30062,9,"England"
"E01000883",24362,8,"England"
"E01000884",27899,9,"England"
"E01000885",27883,9,"England"
"E01000886",21321,7,"England"
"E01000887",19652,6,"England"
"E01000888",17935,6,"England"
"E01000889",5896,2,"England"
"E01000890",2029,1,"England"
"E01000891",3270,1,"England"
"E01000892",17090,6,"England"
"E01000893",30114,9,"England"
"E01000894",27987,9,"England"
"E01000895",19738,6,"England"
"E01000896",30406,10,"England"
"E01000897",31645,10,"England"
"E01000898",19019,6,"England"
"E01000899",26790,8,"England"
"E01000900",9463,3,"England"
"E01000901",4602,2,"England"
"E01000902",4915,2,"England"
"E01000903",15589,5,"England"
"E01000904",6900,3,"England"
"E01000905",3750,2,"England"
"E01000906",23004,7,"England"
"E01000907",8096,3,"England"
"E01000908",8144,3,"England"
"E01000909",20687,7,"England"
"E01000910",24315,8,"England"
"E01000911",14771,5,"England"
"E01000912",7411,3,"England"
"E01000913",23270,7,"England"
"E01000914",12794,4,"England"
"E01000915",8076,3,"England"
"E01000916",11245,4,"England"
"E01000917",2752,1,"England"
"E01000918",12105,4,"England"
"E01000919",9765,3,"England"
"E01000920",16484,5,"England"
"E01000921",16230,5,"England"
"E01000922",10150,4,"England"
"E01000923",16209,5,"England"
"E01000924",18665,6,"England"
"E01000925",7350,3,"England"
"E01000926",11669,4,"England"
"E01000927",15155,5,"England"
"E01000928",12818,4,"England"
"E01000929",6305,2,"England"
"E01000930",5273,2,"England"
"E01000931",3018,1,"England"
"E01000932",12176,4,"England"
"E01000933",9139,3,"England"
"E01000934",3929,2,"England"
"E01000935",5822,2,"England"
"E01000937",19128,6,"England"
"E01000938",3703,2,"England"
"E01000939",4227,2,"England"
"E01000941",4760,2,"England"
"E01000942",12987,4,"England"
"E01000943",18269,6,"England"
"E01000944",6940,3,"England"
"E01000946",13842,5,"England"
"E01000947",7184,3,"England"
"E01000948",7858,3,"England"
"E01000949",10482,4,"England"
"E01000951",4449,2,"England"
"E01000952",4722,2,"England"
"E01000954",3795,2,"England"
"E01000955",4579,2,"England"
"E01000956",3647,2,"England"
"E01000957",8612,3,"England"
"E01000958",12474,4,"England"
"E01000959",4744,2,"England"
"E01000960",16200,5,"England"
"E01000961",9280,3,"England"
"E01000962",30241,9,"England"
"E01000963",23800,8,"England"
"E01000964",16234,5,"England"
"E01000965",17274,6,"England"
